dist_road,dist_market,dist_border,dist_popcenter,dist_admhq,age,sex,denomination,total_cons_ann,nom_totcons_aeq,walls_material,roof_material,floor_material
0.5,256.2,36.5,74.9,0.1,0-17,Female,urban,110039.0,19103.994140625,Corrugated iron,Corrugated iron sheet,Plastic tiles
0.5,256.2,36.5,74.9,0.1,0-17,Female,urban,110039.0,19103.994140625,Corrugated iron,Corrugated iron sheet,Plastic tiles
0.5,256.2,36.5,74.9,0.1,0-17,Male,urban,110039.0,19103.994140625,Corrugated iron,Corrugated iron sheet,Plastic tiles
0.5,256.2,36.5,74.9,0.1,18-30,Female,urban,110039.0,19103.994140625,Corrugated iron,Corrugated iron sheet,Plastic tiles
0.5,256.2,36.5,74.9,0.1,0-17,Male,urban,110039.0,19103.994140625,Corrugated iron,Corrugated iron sheet,Plastic tiles
7.882257352646144,64.39417004373476,257.5658468081693,30.54359828271074,0.13014484612606841,18-30,Female,urban,61688.3984375,54591.50390625,Corrugated iron,Corrugated iron sheet,Plastic tiles
7.882257352646144,64.39417004373476,257.5658468081693,30.54359828271074,0.13014484612606841,0-17,Male,urban,61688.3984375,54591.50390625,Corrugated iron,Corrugated iron sheet,Plastic tiles
0.5,256.2,36.5,74.9,0.1,51-65,Female,urban,161256.0,95985.7109375,Corrugated iron,Corrugated iron sheet,Cement screed/Cement screed not applied
0.5,256.2,36.5,74.9,0.1,0-17,Female,urban,161256.0,95985.7109375,Corrugated iron,Corrugated iron sheet,Cement screed/Cement screed not applied
0.5,256.2,36.5,74.9,0.1,31-50,Male,urban,101500.796875,101500.796875,Corrugated iron,Corrugated iron sheet,Mud
0.5,256.2,36.5,74.9,0.1,18-30,Female,urban,156757.0,65044.39453125,Other,Corrugated iron sheet,Mud
0.5,256.2,36.5,74.9,0.1,0-17,Male,urban,156757.0,65044.39453125,Other,Corrugated iron sheet,Mud
0.5,256.2,36.5,74.9,0.1,0-17,Female,urban,156757.0,65044.39453125,Other,Corrugated iron sheet,Mud
0.5,256.2,36.5,74.9,0.1,0-17,Male,urban,156757.0,65044.39453125,Other,Corrugated iron sheet,Mud
0.5,256.2,36.5,74.9,0.1,31-50,Male,urban,266232.0,53675.8046875,Wood and mud,Corrugated iron sheet,Mud
0.5,256.2,36.5,74.9,0.1,31-50,Female,urban,266232.0,53675.8046875,Wood and mud,Corrugated iron sheet,Mud
0.5,256.2,36.5,74.9,0.1,0-17,Female,urban,266232.0,53675.8046875,Wood and mud,Corrugated iron sheet,Mud
0.5,256.2,36.5,74.9,0.1,0-17,Male,urban,266232.0,53675.8046875,Wood and mud,Corrugated iron sheet,Mud
0.5,256.2,36.5,74.9,0.1,0-17,Female,urban,266232.0,53675.8046875,Wood and mud,Corrugated iron sheet,Mud
0.5,256.2,36.5,74.9,0.1,0-17,Female,urban,266232.0,53675.8046875,Wood and mud,Corrugated iron sheet,Mud
0.5,256.2,36.5,74.9,0.1,31-50,Male,urban,188707.0,25295.84375,Corrugated iron,Corrugated iron sheet,Plastic tiles
0.5,256.2,36.5,74.9,0.1,31-50,Female,urban,188707.0,25295.84375,Corrugated iron,Corrugated iron sheet,Plastic tiles
0.5,256.2,36.5,74.9,0.1,18-30,Male,urban,188707.0,25295.84375,Corrugated iron,Corrugated iron sheet,Plastic tiles
0.5,256.2,36.5,74.9,0.1,0-17,Male,urban,188707.0,25295.84375,Corrugated iron,Corrugated iron sheet,Plastic tiles
0.5,256.2,36.5,74.9,0.1,0-17,Female,urban,188707.0,25295.84375,Corrugated iron,Corrugated iron sheet,Plastic tiles
0.5,256.2,36.5,74.9,0.1,0-17,Male,urban,188707.0,25295.84375,Corrugated iron,Corrugated iron sheet,Plastic tiles
0.5,256.2,36.5,74.9,0.1,0-17,Male,urban,188707.0,25295.84375,Corrugated iron,Corrugated iron sheet,Plastic tiles
0.5,256.2,36.5,74.9,0.1,0-17,Male,urban,188707.0,25295.84375,Corrugated iron,Corrugated iron sheet,Plastic tiles
0.5,256.2,36.5,74.9,0.1,0-17,Male,urban,188707.0,25295.84375,Corrugated iron,Corrugated iron sheet,Plastic tiles
0.5,256.2,36.5,74.9,0.1,0-17,Male,urban,188707.0,25295.84375,Corrugated iron,Corrugated iron sheet,Plastic tiles
0.5,256.2,36.5,74.9,0.1,31-50,Female,urban,99735.0,60081.328125,Corrugated iron,Corrugated iron sheet,Cement screed/Cement screed not applied
